Age,Gender,Income,Education,Nationality,MonthlySpend,PurchaseFreq,PlatformsUsed,MainInfluencerTier,AdFormat,InfluencerCount,MostTrustedPlatform,PurchasedFromInfluencer,WouldRecommend,PurchaseChallenge,InfluencerContentType,WillingnessToTry,WillingnessToPayExtra,MarketingEffectiveness,OnlineCommunityMember,BiggestTurnoff,DiscoveryChannel,PurchaseTimeAfterAd,PurchaseInfluencingFactors
32,Male,<5k,Bachelors,Expat-Arab,250-500,Weekly,"Instagram, TikTok",Micro,Video,8+,Instagram,Yes,No,HardToFind,"Post, Reel, Video",VeryUnlikely,1-10%,HighlyEffective,No,Inauthentic,SocialMedia,Month,"Brand, Reviews"
26,Female,10-20k,Bachelors,Expat-Asian,<100,Weekly,Facebook,Mega,Story,None,Facebook,No,No,TooManyOptions,"Reel, Video",Neutral,No,SomewhatEffective,No,Unrelatable,FriendsFamily,Later,"Ingredients, Brand"
36,Male,20-30k,HighSchool,Expat-Asian,<100,Monthly,"Facebook, Instagram, TikTok",Mega,Video,4-7,TikTok,No,No,NotTrusted,"Post, Reel, Video",Unlikely,50%+,HighlyEffective,Yes,Repetitive,InStore,Month,"Influencer, Reviews"
25,Male,10-20k,Bachelors,Expat-Arab,<100,Quarterly,"YouTube, Facebook, TikTok",Celebrity,Reel,1-3,TikTok,No,Yes,Expensive,"Story, Post",VeryLikely,11-25%,SomewhatEffective,No,Repetitive,Ads,Week,"Friends, Influencer"
30,Female,<5k,Bachelors,Expat-Asian,500-1000,Quarterly,Snapchat,Macro,Story,8+,Snapchat,Yes,Yes,Expensive,"Story, Post, Video",Neutral,No,SomewhatEffective,No,Inauthentic,Ads,Never,"Friends, Ingredients"
34,Male,10-20k,Bachelors,Emirati,250-500,Monthly,"Instagram, TikTok, Facebook",Micro,Reel,1-3,TikTok,Yes,Yes,Expensive,"Video, Reel, Post",Neutral,1-10%,SomewhatEffective,No,Repetitive,SocialMedia,Later,"Friends, Influencer"
37,Female,10-20k,HighSchool,Emirati,100-250,Monthly,Facebook,Macro,Reel,1-3,Facebook,No,No,TooManyOptions,"Post, Story, Video",VeryLikely,26-50%,SomewhatEffective,Yes,Inauthentic,OnlineSearch,Week,"Influencer, Price"
22,Female,10-20k,Bachelors,Expat-Arab,<100,Monthly,Snapchat,Micro,Post,None,Snapchat,Yes,Yes,TooManyOptions,"Reel, Video",VeryLikely,No,SomewhatEffective,Yes,Overpromo,OnlineSearch,Week,"Ingredients, Price"
28,Male,10-20k,Masters,Expat-Asian,250-500,Quarterly,YouTube,Micro,Reel,1-3,YouTube,No,No,NotSure,"Reel, Video, Story",VeryLikely,1-10%,SomewhatEffective,No,Repetitive,OnlineSearch,Week,"Influencer, Friends"
27,Female,20-30k,HighSchool,Expat-Arab,500-1000,Rarely,"YouTube, Instagram, Facebook",Macro,Story,4-7,Facebook,Yes,Yes,TooManyOptions,"Story, Video, Post",Neutral,1-10%,SomewhatEffective,Yes,Overpromo,InStore,Month,"Influencer, Friends"
26,Male,10-20k,Bachelors,Expat-Arab,500-1000,Monthly,"Snapchat, Facebook, Instagram",Macro,Post,1-3,Facebook,Yes,Yes,HardToFind,"Reel, Video",VeryLikely,No,SomewhatEffective,No,Inauthentic,SocialMedia,Later,"Price, Ingredients"
43,Female,<5k,Masters,Expat-Arab,250-500,Monthly,YouTube,Mega,Video,4-7,YouTube,No,No,NotSure,"Reel, Post",Likely,11-25%,Neutral,No,Inauthentic,InStore,Later,"Price, Reviews"
33,Female,10-20k,HighSchool,Expat-Western,<100,Weekly,Facebook,Micro,Reel,1-3,Facebook,No,No,NotSure,Post,Likely,No,SomewhatEffective,No,Overpromo,SocialMedia,Later,"Price, Friends"
22,Female,<5k,HighSchool,Emirati,<100,Monthly,YouTube,Macro,Video,4-7,YouTube,No,No,TooManyOptions,"Video, Post",Neutral,No,SomewhatEffective,No,Repetitive,OnlineSearch,Week,"Ingredients, Reviews"
37,Female,5-10k,Bachelors,Expat-Asian,<100,Monthly,YouTube,Mega,Reel,1-3,YouTube,Yes,Yes,NotTrusted,"Video, Post",Neutral,No,NotEffective,No,None,OnlineSearch,Month,"Reviews, Brand"
45,Male,5-10k,Bachelors,Expat-Asian,100-250,Monthly,"Facebook, Instagram",Mega,Story,8+,Instagram,Yes,No,NotSure,"Reel, Story, Post",Neutral,No,Neutral,No,Repetitive,SocialMedia,Week,"Reviews, Influencer"
38,Female,<5k,Bachelors,Expat-Western,<100,Monthly,YouTube,Mega,Story,8+,YouTube,Yes,Yes,TooManyOptions,Video,Likely,No,NotEffective,No,Repetitive,Ads,Week,"Ingredients, Price"
20,Female,5-10k,Masters,Expat-Western,100-250,Monthly,"YouTube, Snapchat, Instagram",Macro,Reel,1-3,YouTube,No,No,NotSure,"Story, Video",Likely,1-10%,Neutral,Yes,Repetitive,SocialMedia,Month,"Price, Influencer"
27,Female,<5k,HighSchool,Emirati,100-250,Monthly,YouTube,Mega,Video,4-7,YouTube,No,No,NotSure,"Story, Post, Video",Likely,No,SomewhatEffective,No,Repetitive,SocialMedia,Week,"Friends, Influencer"
39,Female,20-30k,Bachelors,Expat-Arab,1000+,Monthly,"Instagram, YouTube",Micro,Story,4-7,YouTube,Yes,Yes,HardToFind,"Video, Post",Unlikely,1-10%,SomewhatEffective,No,Inauthentic,FriendsFamily,Month,"Reviews, Price"
26,Female,30k+,Bachelors,Expat-Western,250-500,Weekly,"YouTube, Instagram, Snapchat",Macro,Video,1-3,Snapchat,No,No,NotSure,"Post, Reel, Story",Likely,1-10%,Neutral,No,Repetitive,SocialMedia,Month,"Brand, Influencer"
34,Male,<5k,HighSchool,Expat-Asian,500-1000,Quarterly,"YouTube, TikTok",Micro,Video,1-3,TikTok,No,No,NotTrusted,"Reel, Post, Video",Likely,No,NotEffective,No,Overpromo,FriendsFamily,Later,"Friends, Influencer"
36,Male,30k+,Bachelors,Expat-Asian,250-500,Quarterly,Facebook,Micro,Reel,None,Facebook,No,No,HardToFind,"Post, Video, Story",Neutral,1-10%,SomewhatEffective,No,Repetitive,OnlineSearch,Week,"Influencer, Price"
24,Female,10-20k,Bachelors,Expat-Asian,<100,Monthly,"TikTok, Instagram, YouTube",Micro,Video,4-7,YouTube,Yes,Yes,Expensive,Reel,Likely,1-10%,NotEffective,Yes,Inauthentic,FriendsFamily,Later,"Brand, Price"
30,Female,5-10k,Bachelors,Expat-Asian,250-500,Weekly,Instagram,Micro,Story,None,Instagram,Yes,No,HardToFind,"Video, Story, Reel",Unlikely,1-10%,SomewhatEffective,No,Unrelatable,OnlineSearch,Never,"Price, Friends"
18,Female,<5k,HighSchool,Expat-Western,100-250,Quarterly,"YouTube, Snapchat, Facebook",Micro,Video,None,Snapchat,No,No,HardToFind,"Video, Story",Likely,No,SomewhatEffective,No,Repetitive,Ads,Later,"Friends, Price"
23,Female,10-20k,Bachelors,Other,250-500,Rarely,"Facebook, Snapchat, Instagram",Micro,Reel,1-3,Snapchat,No,No,NotTrusted,"Story, Reel",Neutral,1-10%,NotEffective,No,None,OnlineSearch,Later,"Ingredients, Price"
29,Male,20-30k,Bachelors,Expat-Asian,100-250,Monthly,"Facebook, TikTok, YouTube",Micro,Post,1-3,Facebook,No,No,Expensive,"Reel, Post, Story",VeryLikely,50%+,Neutral,No,Repetitive,FriendsFamily,Month,"Reviews, Friends"
22,Male,10-20k,Masters,Expat-Arab,1000+,Monthly,"Snapchat, YouTube",Mega,Video,4-7,YouTube,No,Yes,TooManyOptions,"Reel, Video, Story",Likely,No,NotEffective,No,Overpromo,Ads,Month,"Brand, Price"
42,Female,<5k,HighSchool,Expat-Western,100-250,Monthly,YouTube,Micro,Story,8+,YouTube,No,No,NotSure,"Story, Video, Reel",Likely,No,Neutral,No,Overpromo,InStore,Month,"Friends, Influencer"
20,Male,<5k,Bachelors,Emirati,100-250,Monthly,"TikTok, YouTube",Macro,Story,1-3,TikTok,Yes,Yes,Expensive,Story,Unlikely,1-10%,SomewhatEffective,No,Overpromo,Ads,Month,"Brand, Friends"
27,Female,5-10k,Bachelors,Expat-Arab,500-1000,Monthly,"Snapchat, TikTok",Micro,Reel,None,Snapchat,Yes,Yes,NotTrusted,"Post, Video, Story",VeryUnlikely,No,SomewhatEffective,No,Inauthentic,InStore,Month,"Friends, Ingredients"
31,Female,5-10k,Bachelors,Expat-Western,<100,Monthly,TikTok,Mega,Post,1-3,TikTok,Yes,Yes,Expensive,Post,Likely,1-10%,NotEffective,No,Inauthentic,OnlineSearch,Later,"Ingredients, Influencer"
41,Female,5-10k,Bachelors,Expat-Arab,250-500,Quarterly,Facebook,Mega,Story,1-3,Facebook,Yes,Yes,Expensive,"Post, Story, Video",Unlikely,No,SomewhatEffective,No,Inauthentic,SocialMedia,Month,"Reviews, Influencer"
20,Male,5-10k,Bachelors,Expat-Arab,250-500,Monthly,Facebook,Macro,Reel,1-3,Facebook,Yes,Yes,NotSure,"Reel, Story",Neutral,No,SomewhatEffective,No,Overpromo,Ads,Week,"Friends, Ingredients"
39,Female,20-30k,Masters,Expat-Arab,500-1000,Monthly,"Facebook, Instagram, TikTok",Macro,Post,1-3,TikTok,Yes,Yes,Expensive,Post,VeryUnlikely,1-10%,SomewhatEffective,No,Repetitive,SocialMedia,Month,"Friends, Ingredients"
31,Female,20-30k,Masters,Expat-Western,1000+,Monthly,"Instagram, Facebook",Micro,Story,1-3,Facebook,Yes,Yes,NotSure,"Reel, Post, Story",Unlikely,No,SomewhatEffective,Yes,Repetitive,SocialMedia,Week,"Brand, Friends"
24,Female,5-10k,Bachelors,Expat-Asian,1000+,Monthly,"Instagram, Snapchat",Celebrity,Post,1-3,Instagram,Yes,Yes,NotSure,"Video, Post, Story",VeryLikely,No,HighlyEffective,No,Inauthentic,SocialMedia,Month,"Friends, Ingredients"
34,Male,20-30k,Bachelors,Expat-Asian,<100,Weekly,"Instagram, Facebook",Mega,Story,4-7,Facebook,Yes,No,Expensive,"Video, Post, Reel",Neutral,No,Neutral,Yes,Inauthentic,Ads,Immediate,"Reviews, Price"
32,Female,5-10k,Masters,Expat-Arab,500-1000,Weekly,"Facebook, Instagram",Mega,Reel,1-3,Instagram,Yes,Yes,NotSure,"Video, Post, Story",Likely,No,HighlyEffective,No,Inauthentic,FriendsFamily,Month,"Ingredients, Friends"
26,Female,10-20k,Doctorate,Expat-Asian,250-500,Quarterly,"Facebook, YouTube",Macro,Reel,4-7,Facebook,Yes,Yes,Expensive,"Story, Video",VeryLikely,11-25%,SomewhatEffective,No,Inauthentic,OnlineSearch,Later,"Influencer, Price"
31,Male,5-10k,Masters,Expat-Asian,250-500,Weekly,"YouTube, TikTok, Instagram",Micro,Video,1-3,Instagram,No,No,NotTrusted,Story,Likely,26-50%,Neutral,No,Inauthentic,OnlineSearch,Month,"Ingredients, Influencer"
28,Male,10-20k,Bachelors,Expat-Arab,<100,Quarterly,TikTok,Mega,Reel,1-3,TikTok,Yes,Yes,NotSure,"Story, Post, Video",Unlikely,No,SomewhatEffective,No,Overpromo,InStore,Immediate,"Price, Friends"
31,Male,30k+,Bachelors,Expat-Arab,250-500,Quarterly,"Snapchat, Instagram, Facebook",Micro,Story,4-7,Facebook,Yes,Yes,Expensive,Video,Unlikely,1-10%,Neutral,No,Unrelatable,SocialMedia,Month,"Ingredients, Brand"
35,Female,10-20k,Bachelors,Expat-Arab,1000+,Monthly,"Snapchat, Instagram, Facebook",Macro,Video,1-3,Facebook,No,No,NotTrusted,Post,Unlikely,No,SomewhatEffective,No,Unrelatable,OnlineSearch,Week,"Price, Ingredients"
42,Female,5-10k,Masters,Other,500-1000,Monthly,"Snapchat, Instagram, YouTube",Micro,Reel,1-3,Instagram,No,No,NotSure,"Reel, Post, Video",VeryUnlikely,1-10%,NotEffective,Yes,Overpromo,OnlineSearch,Month,"Price, Brand"
22,Female,10-20k,Bachelors,Expat-Asian,100-250,Monthly,YouTube,Mega,Reel,1-3,YouTube,Yes,Yes,TooManyOptions,"Reel, Video, Post",Unlikely,1-10%,SomewhatEffective,No,Overpromo,FriendsFamily,Month,"Influencer, Reviews"
45,Male,<5k,Bachelors,Expat-Western,<100,Quarterly,TikTok,Micro,Reel,1-3,TikTok,No,Yes,Expensive,Video,VeryLikely,No,HighlyEffective,No,Unrelatable,OnlineSearch,Never,"Brand, Friends"
18,Female,20-30k,Masters,Expat-Arab,100-250,Rarely,"YouTube, Snapchat",Micro,Video,4-7,Snapchat,No,Yes,TooManyOptions,Video,Likely,1-10%,Neutral,No,Repetitive,SocialMedia,Immediate,"Brand, Reviews"
29,Female,10-20k,Bachelors,Expat-Asian,500-1000,Quarterly,"Facebook, Instagram, YouTube",Macro,Reel,1-3,Facebook,No,No,Expensive,Reel,VeryLikely,No,Neutral,No,Overpromo,SocialMedia,Month,"Friends, Ingredients"
35,Female,5-10k,Masters,Expat-Asian,250-500,Weekly,"Snapchat, YouTube",Mega,Story,1-3,Snapchat,Yes,Yes,NotSure,"Video, Story",VeryLikely,No,SomewhatEffective,No,Inauthentic,InStore,Later,"Reviews, Ingredients"
32,Other,10-20k,Bachelors,Expat-Asian,100-250,Quarterly,Snapchat,Macro,Reel,None,Snapchat,No,No,NotTrusted,"Video, Story",Likely,11-25%,NotEffective,No,Inauthentic,OnlineSearch,Never,"Friends, Ingredients"
26,Male,10-20k,Bachelors,Other,<100,Monthly,Instagram,Micro,Post,1-3,Instagram,Yes,Yes,HardToFind,"Post, Story",Likely,1-10%,SomewhatEffective,Yes,Inauthentic,SocialMedia,Week,"Price, Ingredients"
29,Female,<5k,Bachelors,Expat-Arab,100-250,Monthly,Snapchat,Micro,Story,8+,Snapchat,Yes,Yes,TooManyOptions,Post,Unlikely,1-10%,NotEffective,No,Overpromo,FriendsFamily,Month,"Ingredients, Friends"
27,Female,10-20k,Masters,Expat-Arab,100-250,Weekly,Instagram,Mega,Story,4-7,Instagram,No,No,NotTrusted,"Post, Story",Unlikely,1-10%,SomewhatEffective,No,Inauthentic,OnlineSearch,Immediate,"Brand, Ingredients"
26,Female,5-10k,HighSchool,Expat-Asian,500-1000,Monthly,"TikTok, Snapchat, Facebook",Celebrity,Post,None,Snapchat,Yes,Yes,Expensive,"Video, Post, Reel",Neutral,1-10%,SomewhatEffective,No,Overpromo,OnlineSearch,Month,"Ingredients, Brand"
36,Female,10-20k,Bachelors,Expat-Asian,250-500,Quarterly,"Snapchat, Instagram",Mega,Post,1-3,Instagram,No,No,Expensive,Video,Unlikely,1-10%,SomewhatEffective,No,Inauthentic,FriendsFamily,Week,"Brand, Friends"
33,Female,20-30k,Masters,Expat-Asian,100-250,Monthly,Snapchat,Macro,Post,1-3,Snapchat,Yes,Yes,NotTrusted,"Post, Video",Likely,No,SomewhatEffective,No,Repetitive,SocialMedia,Later,"Price, Brand"
26,Other,20-30k,Bachelors,Expat-Arab,250-500,Monthly,"TikTok, YouTube",Mega,Reel,1-3,YouTube,No,Yes,NotTrusted,"Story, Video, Post",Unlikely,1-10%,SomewhatEffective,No,Inauthentic,FriendsFamily,Week,"Reviews, Friends"
37,Male,10-20k,Bachelors,Expat-Asian,<100,Monthly,Facebook,Macro,Reel,4-7,Facebook,Yes,Yes,Expensive,"Reel, Post, Story",Likely,1-10%,SomewhatEffective,No,Overpromo,Ads,Month,"Influencer, Price"
33,Male,10-20k,Bachelors,Expat-Arab,1000+,Quarterly,"TikTok, YouTube",Macro,Video,1-3,TikTok,Yes,Yes,Expensive,"Video, Post",Likely,1-10%,HighlyEffective,No,Inauthentic,FriendsFamily,Month,"Brand, Friends"
36,Female,<5k,Bachelors,Expat-Arab,100-250,Quarterly,"Instagram, Facebook",Macro,Story,1-3,Facebook,No,No,Expensive,"Story, Post, Video",Unlikely,1-10%,SomewhatEffective,Yes,Inauthentic,SocialMedia,Never,"Ingredients, Influencer"
35,Female,10-20k,Bachelors,Expat-Asian,100-250,Monthly,Instagram,Macro,Reel,4-7,Instagram,Yes,Yes,NotSure,"Video, Story, Post",Likely,No,SomewhatEffective,Yes,Repetitive,FriendsFamily,Month,"Ingredients, Price"
25,Male,5-10k,Bachelors,Expat-Asian,100-250,Monthly,TikTok,Mega,Video,1-3,TikTok,Yes,Yes,HardToFind,Post,Likely,No,Neutral,Yes,Unrelatable,SocialMedia,Week,"Influencer, Price"
27,Male,10-20k,Bachelors,Expat-Arab,250-500,Monthly,"Instagram, Facebook",Macro,Post,None,Instagram,No,No,NotSure,"Post, Story, Reel",Likely,No,SomewhatEffective,No,Inauthentic,OnlineSearch,Week,"Reviews, Influencer"
36,Male,5-10k,Bachelors,Expat-Arab,250-500,Quarterly,"Facebook, TikTok, Instagram",Micro,Reel,1-3,Facebook,Yes,No,TooManyOptions,Video,Neutral,1-10%,Neutral,No,Unrelatable,OnlineSearch,Week,"Brand, Price"
35,Female,<5k,Bachelors,Expat-Arab,250-500,Monthly,Instagram,Micro,Reel,8+,Instagram,No,Yes,NotSure,"Video, Post, Reel",VeryUnlikely,1-10%,NotEffective,No,Unrelatable,OnlineSearch,Later,"Brand, Influencer"
30,Male,10-20k,HighSchool,Expat-Arab,100-250,Monthly,YouTube,Micro,Post,4-7,YouTube,Yes,No,TooManyOptions,Post,VeryLikely,26-50%,SomewhatEffective,No,Overpromo,InStore,Month,"Price, Reviews"
31,Male,<5k,Bachelors,Expat-Asian,100-250,Monthly,"Facebook, Instagram, YouTube",Macro,Video,1-3,YouTube,Yes,Yes,TooManyOptions,"Story, Post, Video",Unlikely,1-10%,NotEffective,No,Overpromo,OnlineSearch,Month,"Friends, Ingredients"
39,Male,10-20k,Bachelors,Expat-Western,<100,Monthly,"Facebook, TikTok, Snapchat",Micro,Reel,1-3,Snapchat,No,No,NotSure,"Reel, Video",VeryLikely,26-50%,SomewhatEffective,No,Repetitive,InStore,Immediate,"Brand, Friends"
26,Male,5-10k,Bachelors,Expat-Arab,250-500,Quarterly,Instagram,Micro,Post,8+,Instagram,Yes,Yes,TooManyOptions,"Video, Reel, Story",Likely,1-10%,HighlyEffective,No,Inauthentic,FriendsFamily,Later,"Influencer, Friends"
34,Male,<5k,Bachelors,Expat-Asian,<100,Monthly,Facebook,Macro,Post,1-3,Facebook,No,No,Expensive,"Reel, Video",VeryLikely,50%+,SomewhatEffective,Yes,Overpromo,Ads,Month,"Brand, Friends"
29,Female,10-20k,Bachelors,Expat-Western,250-500,Monthly,Facebook,Macro,Post,1-3,Facebook,No,Yes,TooManyOptions,"Post, Reel, Story",Neutral,1-10%,SomewhatEffective,No,Overpromo,SocialMedia,Never,"Price, Brand"
29,Male,<5k,Masters,Expat-Western,500-1000,Monthly,Instagram,Mega,Story,8+,Instagram,Yes,Yes,NotSure,"Reel, Post",VeryLikely,50%+,NotEffective,Yes,Repetitive,FriendsFamily,Month,"Friends, Price"
38,Female,5-10k,Bachelors,Expat-Arab,500-1000,Monthly,"Snapchat, TikTok",Macro,Story,4-7,TikTok,No,Yes,TooManyOptions,"Story, Post",Neutral,No,SomewhatEffective,No,Repetitive,OnlineSearch,Week,"Friends, Reviews"
36,Male,10-20k,Masters,Other,100-250,Rarely,"Snapchat, YouTube",Mega,Reel,1-3,YouTube,No,No,TooManyOptions,Post,Likely,No,SomewhatEffective,No,Repetitive,FriendsFamily,Month,"Brand, Reviews"
36,Female,<5k,Masters,Expat-Arab,100-250,Monthly,"YouTube, Snapchat",Celebrity,Story,1-3,YouTube,Yes,Yes,NotSure,"Post, Reel",VeryLikely,1-10%,Neutral,Yes,Repetitive,SocialMedia,Week,"Ingredients, Brand"
40,Female,20-30k,Bachelors,Expat-Arab,<100,Quarterly,Facebook,Mega,Video,1-3,Facebook,No,No,NotTrusted,"Post, Reel, Video",Neutral,50%+,SomewhatEffective,No,None,InStore,Month,"Influencer, Reviews"
31,Female,<5k,HighSchool,Emirati,250-500,Quarterly,"Facebook, Snapchat",Macro,Story,None,Facebook,Yes,Yes,HardToFind,"Reel, Story",Likely,No,HighlyEffective,Yes,Unrelatable,InStore,Month,"Influencer, Brand"
35,Female,5-10k,Bachelors,Expat-Asian,500-1000,Monthly,TikTok,Micro,Post,8+,TikTok,Yes,No,Expensive,"Video, Story, Post",Likely,No,SomewhatEffective,No,Repetitive,OnlineSearch,Week,"Friends, Reviews"
28,Male,10-20k,Masters,Emirati,100-250,Weekly,Instagram,Celebrity,Story,1-3,Instagram,No,No,Expensive,"Video, Post",Likely,1-10%,NotEffective,No,None,InStore,Week,"Reviews, Friends"
33,Male,5-10k,Bachelors,Expat-Arab,100-250,Monthly,"TikTok, Instagram",Micro,Reel,4-7,Instagram,No,No,TooManyOptions,"Video, Reel, Post",Neutral,1-10%,Neutral,Yes,Inauthentic,OnlineSearch,Week,"Reviews, Influencer"
30,Female,<5k,HighSchool,Expat-Arab,500-1000,Quarterly,Facebook,Micro,Story,1-3,Facebook,No,Yes,NotSure,"Video, Reel, Post",Neutral,No,SomewhatEffective,No,Unrelatable,InStore,Never,"Brand, Reviews"
31,Other,5-10k,Bachelors,Expat-Western,500-1000,Monthly,"Snapchat, Facebook",Macro,Story,1-3,Snapchat,No,No,TooManyOptions,"Post, Story, Reel",VeryLikely,1-10%,SomewhatEffective,No,Repetitive,OnlineSearch,Week,"Brand, Friends"
35,Female,5-10k,Masters,Expat-Western,100-250,Monthly,"TikTok, YouTube",Micro,Post,None,YouTube,No,Yes,Expensive,"Reel, Post, Story",Likely,50%+,HighlyEffective,No,Repetitive,OnlineSearch,Week,"Brand, Influencer"
25,Female,20-30k,Masters,Expat-Arab,250-500,Monthly,"Snapchat, Instagram",Celebrity,Reel,4-7,Snapchat,No,No,TooManyOptions,"Video, Post, Reel",Likely,26-50%,SomewhatEffective,No,Repetitive,Ads,Week,"Reviews, Price"
45,Female,5-10k,Bachelors,Expat-Western,100-250,Quarterly,"Snapchat, TikTok",Macro,Video,1-3,TikTok,Yes,Yes,NotTrusted,"Reel, Post",Likely,No,Neutral,No,Repetitive,OnlineSearch,Month,"Reviews, Friends"
23,Female,10-20k,Bachelors,Expat-Western,<100,Monthly,"YouTube, Instagram",Macro,Story,1-3,YouTube,Yes,Yes,NotSure,"Reel, Video, Post",Unlikely,No,SomewhatEffective,No,None,OnlineSearch,Month,"Ingredients, Reviews"
22,Male,20-30k,Bachelors,Expat-Asian,500-1000,Monthly,"Instagram, Snapchat, TikTok",Macro,Story,None,Snapchat,Yes,No,NotSure,"Story, Reel",Unlikely,No,SomewhatEffective,No,Overpromo,SocialMedia,Later,"Price, Brand"
39,Female,5-10k,Bachelors,Expat-Arab,500-1000,Monthly,"Facebook, TikTok, Snapchat",Macro,Reel,1-3,TikTok,No,Yes,HardToFind,Post,Neutral,No,NotEffective,No,Inauthentic,FriendsFamily,Week,"Brand, Reviews"
36,Female,20-30k,Masters,Expat-Asian,250-500,Monthly,"Facebook, YouTube, Snapchat",Micro,Reel,None,Snapchat,Yes,Yes,Expensive,Reel,Likely,No,Neutral,No,Inauthentic,SocialMedia,Month,"Friends, Ingredients"
35,Male,5-10k,Bachelors,Expat-Western,<100,Quarterly,"YouTube, Facebook, TikTok",Macro,Story,1-3,TikTok,Yes,Yes,Expensive,"Video, Story",Neutral,11-25%,SomewhatEffective,No,Overpromo,FriendsFamily,Week,"Ingredients, Friends"
35,Female,30k+,Bachelors,Expat-Asian,500-1000,Monthly,"Instagram, TikTok, Facebook",Macro,Video,1-3,Facebook,Yes,Yes,NotTrusted,"Story, Post, Reel",Unlikely,No,HighlyEffective,No,Overpromo,OnlineSearch,Never,"Friends, Brand"
30,Male,<5k,HighSchool,Expat-Arab,100-250,Quarterly,"TikTok, Instagram",Macro,Reel,1-3,Instagram,No,Yes,Expensive,"Video, Post",Neutral,26-50%,HighlyEffective,No,Overpromo,OnlineSearch,Week,"Price, Reviews"
24,Female,10-20k,Masters,Expat-Asian,100-250,Quarterly,Facebook,Mega,Story,1-3,Facebook,No,No,NotTrusted,Video,Unlikely,26-50%,HighlyEffective,No,Overpromo,OnlineSearch,Immediate,"Ingredients, Price"
31,Male,10-20k,Masters,Expat-Asian,250-500,Monthly,TikTok,Micro,Reel,1-3,TikTok,Yes,Yes,HardToFind,"Story, Post",Neutral,No,SomewhatEffective,No,Repetitive,SocialMedia,Month,"Friends, Influencer"
26,Female,5-10k,Bachelors,Expat-Asian,<100,Quarterly,"Facebook, YouTube",Micro,Video,1-3,Facebook,Yes,No,NotSure,"Post, Video",Neutral,50%+,HighlyEffective,No,Overpromo,OnlineSearch,Week,"Price, Influencer"
37,Female,10-20k,Masters,Emirati,250-500,Monthly,TikTok,Micro,Reel,1-3,TikTok,Yes,Yes,NotTrusted,"Post, Video, Reel",Likely,1-10%,Neutral,Yes,Repetitive,SocialMedia,Immediate,"Ingredients, Reviews"
29,Male,10-20k,HighSchool,Expat-Arab,250-500,Monthly,Instagram,Macro,Post,None,Instagram,Yes,Yes,Expensive,Reel,Neutral,1-10%,NotEffective,No,Repetitive,OnlineSearch,Month,"Reviews, Influencer"
25,Female,<5k,Bachelors,Expat-Western,100-250,Quarterly,"Snapchat, Facebook, YouTube",Mega,Story,4-7,Snapchat,Yes,No,NotSure,"Post, Video, Story",Likely,No,SomewhatEffective,No,Overpromo,SocialMedia,Month,"Price, Ingredients"
28,Female,<5k,Bachelors,Expat-Western,100-250,Monthly,"TikTok, Snapchat, Instagram",Mega,Story,1-3,Instagram,No,No,Expensive,"Post, Video, Reel",Neutral,1-10%,SomewhatEffective,No,Overpromo,OnlineSearch,Month,"Ingredients, Influencer"
33,Female,10-20k,HighSchool,Expat-Arab,100-250,Quarterly,"TikTok, Instagram, Facebook",Macro,Story,1-3,Facebook,No,No,HardToFind,"Video, Story",Unlikely,No,Neutral,Yes,Repetitive,SocialMedia,Month,"Influencer, Reviews"
27,Male,10-20k,Bachelors,Other,<100,Monthly,Snapchat,Macro,Reel,None,Snapchat,Yes,Yes,NotTrusted,"Video, Post",Unlikely,1-10%,NotEffective,Yes,Unrelatable,SocialMedia,Month,"Influencer, Ingredients"
25,Female,30k+,Masters,Expat-Arab,250-500,Quarterly,"Facebook, Instagram, YouTube",Macro,Reel,4-7,YouTube,Yes,No,NotSure,"Video, Story",Likely,No,NotEffective,No,Overpromo,SocialMedia,Month,"Reviews, Influencer"
32,Male,10-20k,HighSchool,Expat-Asian,500-1000,Monthly,"Facebook, YouTube",Micro,Reel,1-3,Facebook,Yes,Yes,NotSure,"Video, Story",VeryLikely,1-10%,HighlyEffective,No,Inauthentic,OnlineSearch,Month,"Brand, Ingredients"
32,Other,30k+,Bachelors,Expat-Asian,<100,Weekly,TikTok,Micro,Video,1-3,TikTok,Yes,No,Expensive,"Story, Reel, Video",VeryLikely,No,HighlyEffective,No,Inauthentic,FriendsFamily,Month,"Ingredients, Brand"
27,Female,10-20k,Bachelors,Expat-Western,<100,Monthly,YouTube,Celebrity,Story,1-3,YouTube,Yes,Yes,NotTrusted,"Video, Reel, Post",Neutral,No,Neutral,No,Inauthentic,SocialMedia,Week,"Price, Ingredients"
27,Female,5-10k,Bachelors,Expat-Western,250-500,Quarterly,"YouTube, TikTok, Facebook",Macro,Video,1-3,Facebook,Yes,Yes,TooManyOptions,"Video, Reel",Unlikely,1-10%,Neutral,No,Inauthentic,OnlineSearch,Week,"Price, Friends"
32,Female,<5k,Masters,Expat-Arab,500-1000,Quarterly,"Snapchat, Instagram",Celebrity,Reel,8+,Instagram,Yes,Yes,NotTrusted,"Reel, Video",Neutral,1-10%,HighlyEffective,No,Inauthentic,Ads,Month,"Price, Friends"
20,Female,10-20k,Bachelors,Expat-Western,100-250,Monthly,"Instagram, YouTube, TikTok",Micro,Story,4-7,TikTok,No,No,TooManyOptions,Story,VeryLikely,No,SomewhatEffective,No,Unrelatable,SocialMedia,Month,"Reviews, Ingredients"
