Age,Gender,Nationality,Occupation,Income_Bracket,Income_Numeric,Buy_Frequency,Monthly_Spend,Brand_Preferences,Influencer_Purchased,Platforms_Followed,Influencer_Tier,Ad_Formats_Engaged,Engagement_Level,Motivations,Skincare_Concerns,Online_Buying_Challenges,Influencer_1Month_Importance,Likelihood_Buy_Next_Month,Giveaway_Challenge_Participation,Willingness_to_Pay_More,Open_Feedback,Last_Brand_Purchased
45 or older,Female,Pakistani,Employed full-time,20000-35000,17762.0,Weekly,874.0,International brands,Yes,"Instagram,YouTube,TikTok",Macro-influencer,"Reel/Short Video,Story",Rarely,"Ingredients,Brand reputation","Acne,Sensitivity",Delivery issues,Very important,Likely,Yes,0% (none),,Drunk Elephant
18-24,Male,Other,Employed full-time,5000-10000,56050.0,2–3 times a month,188.0,"International brands,K-beauty/J-beauty",No,"Instagram,Facebook",Micro-influencer,"Reel/Short Video,Story",Always,"Reviews,Packaging/design","Hyperpigmentation,Oily skin,Aging/wrinkles,Acne",Lack of trust in reviews,Somewhat important,Very unlikely,Yes,0% (none),Be more transparent about paid partnerships.,Neutrogena
25-34,Female,Filipino,Student,5000-10000,2505.0,2–3 times a month,624.0,"Dermatologist-recommended,Local brands,Organic/Natural",Yes,"TikTok,Instagram",Mega-influencer,"Story,Reel/Short Video",Sometimes,"Brand reputation,Reviews",Other,"Not sure if product suits me,Hard to judge authenticity",Somewhat important,Very unlikely,Yes,0% (none),,
35-44,Male,Pakistani,Homemaker,10000-20000,34130.0,Once a month,914.0,"Drugstore,Premium,Organic/Natural",Yes,Facebook,Celebrity influencer,"Story,Reel/Short Video,Post",Often,"Influencer recommendation,Reviews",Acne,"Not sure if product suits me,Delivery issues,Hard to judge authenticity",Very important,Very likely,Yes,Over 30%,Share more honest reviews.,
35-44,Male,Pakistani,Student,5000-10000,8468.0,2–3 times a month,870.0,"International brands,Organic/Natural,Drugstore,K-beauty/J-beauty",Yes,Instagram,Mega-influencer,Post,Sometimes,"Influencer recommendation,Ingredients",Sensitivity,"Prefer in-store experience,Hard to judge authenticity",Neutral,Unlikely,No,0% (none),Be more transparent about paid partnerships.,Neutrogena
25-34,Female,Pakistani,Employed full-time,10000-20000,5094.0,2–3 times a month,1020.0,"Drugstore,Premium,K-beauty/J-beauty,International brands",No,"Facebook,TikTok,Snapchat",Macro-influencer,"Live Stream,Blog/Article,Post",Sometimes,"Reviews,Dermatologist advice","Acne,Aging/wrinkles,Hyperpigmentation",Delivery issues,Important,Likely,Maybe,Over 30%,Show skincare routine without filters.,Glow Recipe
35-44,Female,British,Employed full-time,<5000,7704.0,Once a month,738.0,"Premium,Organic/Natural",No,YouTube,Micro-influencer,Post,Often,"Reviews,Discounts/offers","Oily skin,Dryness","Hard to judge authenticity,Lack of trust in reviews",Very important,Likely,Yes,21–30%,,Drunk Elephant
25-34,Female,Indian,Employed part-time,20000-35000,19558.0,More than once a week,372.0,"Premium,Drugstore,International brands,Local brands",No,"Snapchat,TikTok,Instagram",Micro-influencer,"Reel/Short Video,Story,Post",Sometimes,"Ingredients,Dermatologist advice",Sensitivity,"Prefer in-store experience,Lack of trust in reviews",Neutral,Unlikely,Maybe,11–20%,Use less retouching in photos.,
18-24,Male,Filipino,Employed part-time,>35000,5273.0,More than once a week,522.0,"Dermatologist-recommended,Local brands",No,Instagram,Micro-influencer,"Reel/Short Video,Story",Rarely,"Discounts/offers,Reviews",Other,"Prefer in-store experience,Not sure if product suits me,Hard to judge authenticity",Somewhat important,Likely,No,0% (none),Show skincare routine without filters.,Glow Recipe
35-44,Female,Emirati,Employed full-time,10000-20000,3926.0,Weekly,824.0,"Organic/Natural,Drugstore,Premium,Dermatologist-recommended",Yes,"Instagram,TikTok,YouTube",Macro-influencer,"Post,Reel/Short Video",Sometimes,"Dermatologist advice,Reviews",Hyperpigmentation,Prefer in-store experience,Important,Very likely,Yes,0% (none),,Glow Recipe
35-44,Female,Indian,Student,>35000,3244.0,2–3 times a month,135.0,"Dermatologist-recommended,Organic/Natural",Yes,"Instagram,Snapchat",Celebrity influencer,"Story,Post",Sometimes,"Influencer recommendation,Discounts/offers","Aging/wrinkles,Oily skin,Acne","Not sure if product suits me,Prefer in-store experience,Delivery issues",Very important,Neutral,Maybe,11–20%,Show skincare routine without filters.,La Roche-Posay
35-44,Female,Filipino,Business owner,<5000,5183.0,Weekly,1169.0,"International brands,Organic/Natural,Local brands",Yes,"Instagram,Facebook",Macro-influencer,"Reel/Short Video,Post,Long-form Video",Rarely,"Packaging/design,Influencer recommendation","Hyperpigmentation,Aging/wrinkles,Oily skin,Acne",Not sure if product suits me,Not important,Very likely,Yes,11–20%,,Cetaphil
45 or older,Male,Pakistani,Employed full-time,5000-10000,15629.0,Weekly,1061.0,"Premium,International brands",Yes,Instagram,Mega-influencer,"Reel/Short Video,Long-form Video",Always,"Ingredients,Friends/family recommendation",Aging/wrinkles,"Delivery issues,Hard to judge authenticity,Prefer in-store experience",Important,Very unlikely,No,Over 30%,,
25-34,Female,Other,Homemaker,10000-20000,7742.0,Weekly,294.0,"Drugstore,Dermatologist-recommended,International brands,Premium",Yes,"Snapchat,YouTube,TikTok",Micro-influencer,"Story,Reel/Short Video,Post",Rarely,"Reviews,Discounts/offers","Dryness,Hyperpigmentation,Acne,Aging/wrinkles","Prefer in-store experience,Lack of trust in reviews,Too many choices",Important,Likely,No,0% (none),Show skincare routine without filters.,Neutrogena
25-34,Male,Pakistani,Homemaker,10000-20000,4323.0,2–3 times a month,522.0,International brands,Yes,TikTok,Macro-influencer,Blog/Article,Sometimes,"Reviews,Packaging/design","Oily skin,Acne","Delivery issues,Too many choices,Hard to judge authenticity",Neutral,Likely,No,11–20%,,Drunk Elephant
35-44,Male,British,Homemaker,5000-10000,3636.0,Less than once a month,343.0,"Dermatologist-recommended,International brands",Yes,"Other,YouTube",Mega-influencer,Long-form Video,Rarely,"Ingredients,Packaging/design","Hyperpigmentation,Other,Acne,Oily skin","Hard to judge authenticity,Too many choices",Somewhat important,Likely,Yes,1–10%,,
25-34,Prefer not to say,Filipino,Employed full-time,5000-10000,5641.0,Less than once a month,418.0,Premium,Yes,Facebook,Macro-influencer,Reel/Short Video,Sometimes,"Brand reputation,Dermatologist advice","Hyperpigmentation,Acne,Dryness,Aging/wrinkles","Too many choices,Prefer in-store experience,Not sure if product suits me",Somewhat important,Unlikely,No,0% (none),,Neutrogena
35-44,Male,Pakistani,Employed full-time,<5000,27309.0,2–3 times a month,261.0,"Drugstore,International brands",Yes,"Snapchat,Facebook",Micro-influencer,Reel/Short Video,Rarely,"Discounts/offers,Friends/family recommendation","Aging/wrinkles,Hyperpigmentation","Lack of trust in reviews,Too many choices",Important,Neutral,Maybe,1–10%,Show skincare routine without filters.,
35-44,Female,Emirati,Homemaker,5000-10000,5781.0,2–3 times a month,696.0,"Drugstore,International brands,Dermatologist-recommended,Organic/Natural",No,"TikTok,YouTube",Macro-influencer,"Reel/Short Video,Post",Sometimes,"Influencer recommendation,Ingredients","Hyperpigmentation,Aging/wrinkles,Oily skin",Too many choices,Important,Very likely,No,1–10%,Show skincare routine without filters.,Huda Beauty
35-44,Female,Indian,Employed full-time,<5000,41899.0,Weekly,807.0,"Premium,Dermatologist-recommended",Yes,"YouTube,TikTok",Macro-influencer,Post,Rarely,"Discounts/offers,Brand reputation","Acne,Sensitivity,Hyperpigmentation","Hard to judge authenticity,Not sure if product suits me,Prefer in-store experience",Very important,Neutral,Maybe,0% (none),Share more honest reviews.,
18-24,Female,Indian,Employed full-time,10000-20000,7976.0,Once a month,566.0,"K-beauty/J-beauty,Drugstore,Premium",No,TikTok,Celebrity influencer,"Post,Blog/Article,Live Stream",Never,"Discounts/offers,Packaging/design",Oily skin,"Hard to judge authenticity,Not sure if product suits me,Too many choices",Neutral,Likely,No,0% (none),Be more transparent about paid partnerships.,Cetaphil
25-34,Female,Filipino,Unemployed,5000-10000,3777.0,Once a month,861.0,"K-beauty/J-beauty,Organic/Natural,Premium",Yes,Facebook,Micro-influencer,"Story,Reel/Short Video,Post",Often,"Friends/family recommendation,Packaging/design","Dryness,Aging/wrinkles,Acne,Sensitivity","Not sure if product suits me,Prefer in-store experience,Hard to judge authenticity",Very important,Very likely,Yes,1–10%,Share more honest reviews.,CeraVe
18-24,Male,Emirati,Unemployed,<5000,21959.0,2–3 times a month,798.0,Premium,Yes,"Instagram,TikTok,YouTube",Micro-influencer,"Blog/Article,Story,Long-form Video",Often,"Packaging/design,Influencer recommendation","Aging/wrinkles,Dryness",Too many choices,Important,Neutral,Yes,1–10%,Show skincare routine without filters.,Neutrogena
25-34,Male,Indian,Employed full-time,10000-20000,7552.0,Once a month,1325.0,"K-beauty/J-beauty,Premium,Drugstore,International brands",Yes,YouTube,Macro-influencer,"Post,Reel/Short Video",Sometimes,"Influencer recommendation,Friends/family recommendation","Dryness,Aging/wrinkles","Hard to judge authenticity,Too many choices",Somewhat important,Neutral,No,0% (none),Use less retouching in photos.,CeraVe
Under 18,Female,Indian,Student,10000-20000,13131.0,Once a month,996.0,"Premium,K-beauty/J-beauty",Yes,"YouTube,Snapchat,Instagram",Micro-influencer,Reel/Short Video,Never,"Ingredients,Discounts/offers","Hyperpigmentation,Aging/wrinkles,Acne,Sensitivity",Too many choices,Somewhat important,Very likely,No,0% (none),Show skincare routine without filters.,Neutrogena
25-34,Male,Other,Employed full-time,20000-35000,39056.0,2–3 times a month,536.0,"Local brands,International brands",Yes,"TikTok,YouTube",Macro-influencer,"Reel/Short Video,Story",Often,"Reviews,Influencer recommendation","Aging/wrinkles,Sensitivity,Dryness,Hyperpigmentation","Prefer in-store experience,Hard to judge authenticity,Not sure if product suits me",Important,Very likely,Yes,Over 30%,,Drunk Elephant
25-34,Male,Indian,Homemaker,10000-20000,2463.0,2–3 times a month,1108.0,International brands,No,Instagram,Micro-influencer,Post,Rarely,"Reviews,Discounts/offers",Other,"Lack of trust in reviews,Prefer in-store experience",Very important,Neutral,Yes,21–30%,,La Roche-Posay
18-24,Male,Filipino,Unemployed,5000-10000,2915.0,Weekly,996.0,"Organic/Natural,International brands",No,"TikTok,Snapchat",Celebrity influencer,Story,Always,"Influencer recommendation,Ingredients","Acne,Oily skin,Aging/wrinkles","Not sure if product suits me,Too many choices",Very important,Likely,Yes,11–20%,Include more before-and-after photos.,Neutrogena
25-34,Male,Indian,Employed full-time,20000-35000,13471.0,Once a month,1409.0,"Drugstore,K-beauty/J-beauty",Yes,Instagram,Mega-influencer,"Story,Reel/Short Video,Blog/Article",Sometimes,"Ingredients,Reviews","Sensitivity,Oily skin,Acne,Dryness","Too many choices,Hard to judge authenticity,Not sure if product suits me",Important,Very likely,No,0% (none),Show skincare routine without filters.,The Ordinary
Under 18,Female,Pakistani,Student,10000-20000,4979.0,Once a month,293.0,"Dermatologist-recommended,Premium,Drugstore,Local brands",Yes,"Instagram,YouTube",Micro-influencer,Story,Sometimes,"Ingredients,Dermatologist advice","Aging/wrinkles,Hyperpigmentation,Oily skin,Acne","Not sure if product suits me,Prefer in-store experience,Hard to judge authenticity",Somewhat important,Very unlikely,No,0% (none),,
Under 18,Male,Indian,Unemployed,<5000,3833.0,2–3 times a month,310.0,"Drugstore,International brands,K-beauty/J-beauty,Local brands",Yes,"Instagram,TikTok",Micro-influencer,"Story,Reel/Short Video,Live Stream",Often,"Discounts/offers,Brand reputation",Acne,"Hard to judge authenticity,Prefer in-store experience",Somewhat important,Very unlikely,Yes,11–20%,,Neutrogena
35-44,Female,Indian,Employed full-time,10000-20000,2361.0,Weekly,244.0,Local brands,Yes,"Instagram,Snapchat,TikTok",Macro-influencer,"Reel/Short Video,Long-form Video,Live Stream",Often,"Dermatologist advice,Influencer recommendation","Oily skin,Hyperpigmentation,Acne","Not sure if product suits me,Delivery issues",Not important,Neutral,Yes,0% (none),Be more transparent about paid partnerships.,
25-34,Female,Filipino,Employed full-time,20000-35000,13193.0,Less than once a month,267.0,"International brands,K-beauty/J-beauty,Local brands,Organic/Natural",Yes,TikTok,Mega-influencer,"Post,Story,Reel/Short Video",Sometimes,"Influencer recommendation,Discounts/offers","Acne,Oily skin,Dryness,Aging/wrinkles","Too many choices,Lack of trust in reviews",Somewhat important,Neutral,Yes,1–10%,,Cetaphil
18-24,Female,Emirati,Other,5000-10000,15404.0,Weekly,683.0,"Premium,Dermatologist-recommended",Yes,"Instagram,YouTube,Facebook",Micro-influencer,"Reel/Short Video,Post",Sometimes,"Ingredients,Discounts/offers","Sensitivity,Acne","Lack of trust in reviews,Too many choices",Very important,Likely,Maybe,0% (none),Show skincare routine without filters.,
25-34,Male,Emirati,Student,5000-10000,3299.0,Once a month,1189.0,Dermatologist-recommended,Yes,"Snapchat,Instagram",Micro-influencer,"Reel/Short Video,Story,Long-form Video",Sometimes,"Reviews,Ingredients","Aging/wrinkles,Sensitivity,Hyperpigmentation",Too many choices,Very important,Likely,Yes,0% (none),,CeraVe
35-44,Male,Indian,Employed part-time,<5000,7675.0,Weekly,501.0,Drugstore,Yes,"YouTube,Instagram",Macro-influencer,"Reel/Short Video,Post,Long-form Video",Always,"Influencer recommendation,Friends/family recommendation",Dryness,Prefer in-store experience,Neutral,Very unlikely,Yes,21–30%,Use less retouching in photos.,Huda Beauty
18-24,Male,Emirati,Student,<5000,10380.0,Weekly,157.0,Drugstore,Yes,Instagram,Macro-influencer,"Blog/Article,Long-form Video,Reel/Short Video",Often,"Reviews,Dermatologist advice",Dryness,"Too many choices,Prefer in-store experience",Very important,Very likely,No,21–30%,Include more before-and-after photos.,Drunk Elephant
25-34,Female,Emirati,Employed full-time,5000-10000,7033.0,Once a month,155.0,International brands,Yes,"Instagram,Other",Micro-influencer,Reel/Short Video,Rarely,"Influencer recommendation,Reviews",Acne,Too many choices,Somewhat important,Neutral,Maybe,Over 30%,,Cetaphil
18-24,Female,Indian,Homemaker,10000-20000,2247.0,Weekly,1059.0,"Drugstore,Premium,K-beauty/J-beauty,Local brands",Yes,Instagram,Macro-influencer,"Reel/Short Video,Long-form Video,Post",Rarely,"Reviews,Friends/family recommendation",Aging/wrinkles,Not sure if product suits me,Neutral,Neutral,Yes,Over 30%,,
18-24,Male,Egyptian,Employed full-time,<5000,75000.0,Once a month,216.0,Drugstore,No,"Instagram,YouTube",Celebrity influencer,Reel/Short Video,Rarely,"Influencer recommendation,Ingredients","Acne,Dryness","Delivery issues,Not sure if product suits me",Somewhat important,Neutral,Maybe,1–10%,,Neutrogena
25-34,Female,Pakistani,Other,20000-35000,2095.0,Weekly,290.0,"Drugstore,Organic/Natural",Yes,"YouTube,Instagram",Micro-influencer,"Story,Post,Reel/Short Video",Rarely,"Dermatologist advice,Ingredients","Hyperpigmentation,Aging/wrinkles","Hard to judge authenticity,Delivery issues",Not important,Very likely,Yes,1–10%,,
25-34,Male,Filipino,Employed full-time,10000-20000,14915.0,2–3 times a month,1073.0,"Premium,Local brands,Drugstore,Dermatologist-recommended",No,TikTok,Macro-influencer,"Blog/Article,Long-form Video",Rarely,"Reviews,Friends/family recommendation","Hyperpigmentation,Dryness,Oily skin","Lack of trust in reviews,Hard to judge authenticity",Somewhat important,Unlikely,Yes,0% (none),,
25-34,Female,Indian,Employed full-time,10000-20000,22140.0,2–3 times a month,442.0,Premium,No,"Instagram,TikTok,YouTube",Micro-influencer,"Long-form Video,Post,Reel/Short Video",Often,"Dermatologist advice,Discounts/offers",Dryness,"Prefer in-store experience,Too many choices",Neutral,Very unlikely,Yes,1–10%,Be more transparent about paid partnerships.,Neutrogena
35-44,Female,Other,Employed full-time,20000-35000,7104.0,Weekly,717.0,"Dermatologist-recommended,Drugstore,Premium,International brands",No,"Instagram,Snapchat",Micro-influencer,"Long-form Video,Story,Blog/Article",Rarely,"Ingredients,Friends/family recommendation","Oily skin,Hyperpigmentation","Delivery issues,Lack of trust in reviews,Prefer in-store experience",Important,Very likely,No,0% (none),,CeraVe
45 or older,Female,Indian,Employed full-time,<5000,8902.0,Weekly,478.0,"Drugstore,Premium,Organic/Natural,International brands",No,TikTok,Micro-influencer,"Post,Reel/Short Video,Story",Sometimes,"Friends/family recommendation,Discounts/offers",Sensitivity,"Lack of trust in reviews,Too many choices,Not sure if product suits me",Neutral,Very likely,Yes,21–30%,Include more before-and-after photos.,Neutrogena
25-34,Female,Emirati,Employed full-time,5000-10000,7833.0,Once a month,899.0,"International brands,K-beauty/J-beauty,Organic/Natural",No,"Instagram,YouTube,Snapchat",Micro-influencer,Live Stream,Sometimes,"Brand reputation,Reviews","Acne,Sensitivity,Oily skin","Lack of trust in reviews,Not sure if product suits me,Too many choices",Important,Neutral,No,1–10%,,Glow Recipe
18-24,Female,Pakistani,Student,10000-20000,6437.0,2–3 times a month,426.0,"Drugstore,Premium,Local brands",No,"TikTok,YouTube",Mega-influencer,"Story,Reel/Short Video,Blog/Article",Rarely,"Reviews,Influencer recommendation","Acne,Aging/wrinkles","Too many choices,Hard to judge authenticity",Neutral,Very unlikely,Yes,11–20%,,
35-44,Male,Indian,Employed full-time,20000-35000,21657.0,2–3 times a month,1286.0,"K-beauty/J-beauty,Drugstore,Premium,Dermatologist-recommended",Yes,"Other,Snapchat",Macro-influencer,"Post,Story,Reel/Short Video",Never,"Influencer recommendation,Ingredients","Oily skin,Aging/wrinkles,Acne,Dryness","Not sure if product suits me,Prefer in-store experience,Hard to judge authenticity",Very important,Likely,Yes,1–10%,Show skincare routine without filters.,Neutrogena
18-24,Female,Indian,Employed full-time,20000-35000,22193.0,Once a month,458.0,"Premium,Drugstore",Yes,Facebook,Micro-influencer,"Story,Post,Reel/Short Video",Never,"Discounts/offers,Reviews","Aging/wrinkles,Acne,Dryness,Sensitivity","Not sure if product suits me,Prefer in-store experience",Very important,Likely,Yes,0% (none),Be more transparent about paid partnerships.,The Ordinary
25-34,Male,Filipino,Business owner,5000-10000,5683.0,Weekly,571.0,Dermatologist-recommended,No,"Instagram,TikTok",Micro-influencer,"Post,Story,Reel/Short Video",Rarely,"Discounts/offers,Reviews","Acne,Aging/wrinkles,Dryness","Prefer in-store experience,Not sure if product suits me,Hard to judge authenticity",Very important,Very likely,No,11–20%,,Drunk Elephant
18-24,Female,Egyptian,Employed part-time,>35000,10592.0,2–3 times a month,558.0,"Dermatologist-recommended,Drugstore",No,"Instagram,TikTok,YouTube",Macro-influencer,Story,Often,"Friends/family recommendation,Brand reputation",Hyperpigmentation,"Lack of trust in reviews,Too many choices",Important,Neutral,No,11–20%,Be more transparent about paid partnerships.,Cetaphil
Under 18,Female,Filipino,Business owner,<5000,25544.0,Once a month,994.0,"Drugstore,Dermatologist-recommended,Local brands,Premium",No,"Snapchat,YouTube",Micro-influencer,Reel/Short Video,Often,"Discounts/offers,Dermatologist advice","Aging/wrinkles,Hyperpigmentation","Delivery issues,Prefer in-store experience",Important,Unlikely,No,11–20%,Share more honest reviews.,
45 or older,Female,British,Student,20000-35000,31445.0,Weekly,1169.0,Premium,No,"Snapchat,Instagram,YouTube",Micro-influencer,"Blog/Article,Story",Never,"Reviews,Ingredients","Acne,Aging/wrinkles,Oily skin",Hard to judge authenticity,Somewhat important,Likely,No,11–20%,Share more honest reviews.,Cetaphil
35-44,Female,Other,Employed full-time,>35000,8401.0,Less than once a month,615.0,Local brands,No,"Instagram,TikTok",Macro-influencer,Story,Sometimes,"Friends/family recommendation,Discounts/offers","Sensitivity,Oily skin","Too many choices,Delivery issues,Not sure if product suits me",Very important,Likely,No,0% (none),,
25-34,Female,Indian,Employed part-time,<5000,7427.0,2–3 times a month,385.0,"Drugstore,Dermatologist-recommended,Premium",No,Instagram,Mega-influencer,"Long-form Video,Post,Reel/Short Video",Rarely,"Ingredients,Reviews","Aging/wrinkles,Acne,Sensitivity",Not sure if product suits me,Somewhat important,Likely,No,Over 30%,Be more transparent about paid partnerships.,
25-34,Female,Indian,Employed full-time,10000-20000,4940.0,Once a month,285.0,Dermatologist-recommended,No,TikTok,Micro-influencer,Story,Sometimes,"Reviews,Ingredients",Hyperpigmentation,Lack of trust in reviews,Somewhat important,Very likely,Maybe,0% (none),Include more before-and-after photos.,Glow Recipe
18-24,Female,Indian,Student,<5000,30720.0,Less than once a month,350.0,"Organic/Natural,Dermatologist-recommended",Yes,TikTok,Macro-influencer,Blog/Article,Sometimes,"Friends/family recommendation,Discounts/offers","Acne,Aging/wrinkles","Lack of trust in reviews,Prefer in-store experience",Not important,Likely,Maybe,21–30%,,La Roche-Posay
18-24,Male,Filipino,Homemaker,5000-10000,3387.0,Once a month,1262.0,"International brands,Local brands",No,"Other,Instagram",Micro-influencer,"Post,Live Stream,Story",Sometimes,"Friends/family recommendation,Dermatologist advice","Hyperpigmentation,Oily skin,Sensitivity,Acne","Prefer in-store experience,Lack of trust in reviews,Too many choices",Important,Unlikely,No,21–30%,Share more honest reviews.,
18-24,Male,Filipino,Business owner,10000-20000,9804.0,2–3 times a month,944.0,"Premium,Organic/Natural,International brands",No,"YouTube,Instagram",Macro-influencer,"Story,Long-form Video",Rarely,"Reviews,Discounts/offers","Hyperpigmentation,Aging/wrinkles,Dryness,Acne","Lack of trust in reviews,Not sure if product suits me",Neutral,Likely,No,0% (none),,Glow Recipe
25-34,Male,Other,Employed full-time,10000-20000,4988.0,Weekly,347.0,Drugstore,No,Snapchat,Macro-influencer,Post,Rarely,"Ingredients,Discounts/offers","Acne,Oily skin","Lack of trust in reviews,Not sure if product suits me",Very important,Neutral,No,Over 30%,,Glow Recipe
35-44,Male,British,Student,20000-35000,4944.0,Less than once a month,860.0,Drugstore,No,"Snapchat,Instagram",Mega-influencer,"Post,Reel/Short Video",Often,"Influencer recommendation,Friends/family recommendation",Hyperpigmentation,Not sure if product suits me,Neutral,Neutral,Yes,Over 30%,Include more before-and-after photos.,
25-34,Female,Pakistani,Business owner,10000-20000,6672.0,Less than once a month,969.0,"Drugstore,International brands",Yes,"TikTok,Snapchat,Instagram",Macro-influencer,"Story,Post,Reel/Short Video",Often,"Packaging/design,Discounts/offers",Acne,"Delivery issues,Too many choices",Very important,Very likely,Maybe,1–10%,,Cetaphil
18-24,Male,Indian,Employed full-time,5000-10000,62476.0,Weekly,1114.0,K-beauty/J-beauty,Yes,"Instagram,TikTok,YouTube",Micro-influencer,Post,Always,"Ingredients,Influencer recommendation","Acne,Dryness,Aging/wrinkles,Oily skin","Too many choices,Delivery issues,Not sure if product suits me",Neutral,Likely,Yes,11–20%,,Cetaphil
45 or older,Non-binary/Other,Egyptian,Homemaker,20000-35000,2509.0,Less than once a month,771.0,Organic/Natural,No,"Instagram,YouTube,Facebook",Micro-influencer,"Long-form Video,Post,Reel/Short Video",Never,"Discounts/offers,Friends/family recommendation","Aging/wrinkles,Acne","Too many choices,Delivery issues,Not sure if product suits me",Very important,Unlikely,Yes,21–30%,Be more transparent about paid partnerships.,Drunk Elephant
35-44,Male,Other,Business owner,>35000,9776.0,Weekly,643.0,Drugstore,No,"Instagram,YouTube",Micro-influencer,"Reel/Short Video,Post,Blog/Article",Often,"Dermatologist advice,Reviews","Dryness,Sensitivity,Acne","Hard to judge authenticity,Lack of trust in reviews",Important,Neutral,No,0% (none),Include more before-and-after photos.,La Roche-Posay
25-34,Male,Egyptian,Homemaker,<5000,2776.0,Once a month,761.0,"International brands,Premium,Drugstore",Yes,"Instagram,YouTube",Macro-influencer,Live Stream,Often,"Discounts/offers,Ingredients","Other,Oily skin,Dryness","Hard to judge authenticity,Not sure if product suits me,Lack of trust in reviews",Important,Unlikely,Yes,21–30%,Share more honest reviews.,
25-34,Female,Emirati,Employed full-time,>35000,3511.0,Weekly,630.0,"Organic/Natural,Dermatologist-recommended",Yes,YouTube,Mega-influencer,"Reel/Short Video,Post,Long-form Video",Always,"Reviews,Influencer recommendation","Oily skin,Hyperpigmentation,Dryness,Sensitivity","Not sure if product suits me,Prefer in-store experience",Important,Unlikely,Maybe,1–10%,Show skincare routine without filters.,
25-34,Female,Pakistani,Employed full-time,<5000,7211.0,Once a month,693.0,"Local brands,International brands",No,Facebook,Macro-influencer,"Story,Blog/Article",Rarely,"Discounts/offers,Ingredients",Aging/wrinkles,Delivery issues,Important,Likely,Maybe,11–20%,,
18-24,Female,Emirati,Employed part-time,20000-35000,8429.0,Weekly,789.0,"Organic/Natural,K-beauty/J-beauty,Drugstore,Premium",No,"Other,Snapchat",Macro-influencer,"Long-form Video,Story,Reel/Short Video",Often,"Influencer recommendation,Discounts/offers","Acne,Oily skin,Dryness,Sensitivity","Not sure if product suits me,Prefer in-store experience,Hard to judge authenticity",Important,Likely,No,1–10%,,
25-34,Female,Indian,Employed part-time,5000-10000,4695.0,Weekly,420.0,Organic/Natural,No,"Instagram,YouTube,TikTok",Micro-influencer,"Story,Long-form Video",Never,"Reviews,Discounts/offers",Acne,"Too many choices,Not sure if product suits me",Important,Neutral,Yes,1–10%,Include more before-and-after photos.,The Ordinary
35-44,Female,Emirati,Business owner,<5000,5424.0,2–3 times a month,767.0,"Drugstore,International brands,Organic/Natural,Premium",No,"Facebook,YouTube",Macro-influencer,"Reel/Short Video,Post,Story",Sometimes,"Reviews,Dermatologist advice","Hyperpigmentation,Sensitivity,Dryness","Lack of trust in reviews,Delivery issues,Too many choices",Important,Neutral,No,21–30%,,
Under 18,Male,Pakistani,Employed full-time,5000-10000,2819.0,Less than once a month,524.0,"Drugstore,Premium,International brands,Local brands",Yes,"TikTok,Instagram",Micro-influencer,"Story,Post",Sometimes,"Influencer recommendation,Discounts/offers","Aging/wrinkles,Hyperpigmentation","Lack of trust in reviews,Not sure if product suits me",Neutral,Neutral,Yes,1–10%,Use less retouching in photos.,
18-24,Prefer not to say,British,Employed full-time,10000-20000,5252.0,Weekly,315.0,"Dermatologist-recommended,International brands,K-beauty/J-beauty,Drugstore",Yes,Instagram,Micro-influencer,Live Stream,Often,"Friends/family recommendation,Ingredients","Acne,Dryness,Sensitivity","Lack of trust in reviews,Hard to judge authenticity",Neutral,Very unlikely,Yes,1–10%,Share more honest reviews.,CeraVe
Under 18,Non-binary/Other,Indian,Unemployed,5000-10000,32582.0,2–3 times a month,746.0,"Organic/Natural,International brands,Dermatologist-recommended,Premium",Yes,"Instagram,Facebook",Micro-influencer,"Live Stream,Story",Often,"Ingredients,Discounts/offers","Aging/wrinkles,Hyperpigmentation","Delivery issues,Too many choices",Not important,Neutral,Maybe,1–10%,Share more honest reviews.,
Under 18,Female,Indian,Business owner,<5000,28056.0,Less than once a month,419.0,International brands,No,Facebook,Mega-influencer,Live Stream,Sometimes,"Influencer recommendation,Ingredients","Aging/wrinkles,Hyperpigmentation",Not sure if product suits me,Very important,Very likely,Yes,1–10%,Use less retouching in photos.,La Roche-Posay
35-44,Male,Filipino,Unemployed,10000-20000,5670.0,Less than once a month,456.0,"Drugstore,Dermatologist-recommended,International brands",Yes,"YouTube,Instagram,TikTok",Micro-influencer,"Story,Reel/Short Video,Live Stream",Sometimes,"Ingredients,Influencer recommendation","Oily skin,Dryness,Sensitivity","Prefer in-store experience,Hard to judge authenticity",Very important,Likely,No,1–10%,Be more transparent about paid partnerships.,
35-44,Female,Indian,Business owner,20000-35000,9614.0,Weekly,893.0,Drugstore,No,Instagram,Macro-influencer,Post,Rarely,"Discounts/offers,Dermatologist advice","Dryness,Aging/wrinkles","Lack of trust in reviews,Hard to judge authenticity,Too many choices",Somewhat important,Very likely,Maybe,0% (none),Show skincare routine without filters.,
25-34,Male,Indian,Employed full-time,5000-10000,23631.0,Once a month,652.0,"Premium,Dermatologist-recommended",Yes,"TikTok,Instagram",Macro-influencer,"Post,Blog/Article,Reel/Short Video",Sometimes,"Influencer recommendation,Discounts/offers","Acne,Aging/wrinkles","Not sure if product suits me,Lack of trust in reviews",Neutral,Likely,Maybe,0% (none),Share more honest reviews.,La Roche-Posay
